351   0     101;2537937.045;1176084.567;
351   0     105;2537886.778;1175458.980;
351   0     106;2537965.371;1175132.067;
351   0     107;2538177.288;1174929.783;563.279
351   0     108;2538266.647;1174859.188;
351   0     109;2538109.459;1174816.384;
351   0     110;2538103.766;1174702.740;
351   0     111;2538086.360;1174655.497;
351   0     112;2538009.424;1174691.595;
351   0     113;2537863.095;1174775.739;588.418
351   0     114;2538073.093;1174568.412;
351   0     115;2538069.633;1174491.502;
351   0     116;2538048.875;1174468.559;
351   0     117;2538028.409;1174377.559;
351   0     118;2538146.206;1174405.213;
351   0     119;2538176.523;1174184.520;
351   0     120;2538031.460;1174268.815;
351   0     121;2538031.725;1173982.028;
351   0     122;2537831.501;1174352.715;
351   0     123;2537623.586;1174245.351;
351   0     131;2537897.418;1174965.365;
351   0     135;2538277.827;1174578.981;
351   0     164;2538296.899;1174426.469;
351   0    9195;2538098.098;1174485.417;570.156
351   0    9196;2538057.130;1174709.632;
351   0    9197;2538042.642;1174715.794;
351   0    9198;2538052.650;1174688.000;
351   0    9199;2538046.097;1174674.960;
351   0    9216;2537996.139;1174451.675;
351   0    9336;2538123.392;1174475.148;
351   0    9337;2538145.547;1174472.443;
351   0    9338;2538199.213;1174462.952;
351   0    9339;2538247.905;1174451.465;
351   0    9340;2538328.799;1174443.317;
351   0    9342;2538368.928;1174476.888;522.652
351   9     102;2537931.763;1174738.566;
351  10     136;2538000.919;1174306.379;
351  10     171;2537920.440;1174520.328;
351  10     237;2537960.756;1174320.751;
351  17     257;2538049.544;1174466.092;
351  17    7291;2537973.899;1174712.874;
4001203    2330;2537914.292;1174524.857;
351  17     102;2538108.978;1174770.742;
351  17     103;2538205.712;1174475.987;
351  17     104;2538204.299;1174455.381;
351  17     105;2538206.219;1174463.164;
351  17     106;2538075.547;1174518.522;
351  17     107;2538074.594;1174485.212;
351  17     108;2538076.410;1174489.180;
351  17     109;2538110.999;1174482.728;
351  17     110;2538108.365;1174478.746;
351  17     111;2538111.232;1174473.561;
351  17     112;2538118.821;1174468.081;
351  17     113;2538118.844;1174464.036;
351  17     114;2538113.541;1174459.856;
351  17     115;2538109.952;1174465.351;
351  17     116;2538106.194;1174474.932;
351  17     117;2538103.278;1174479.760;
351  17     118;2538097.038;1174483.680;
351  17     119;2538058.018;1174455.007;
351  17     120;2538069.217;1174473.025;
351  17     121;2538065.477;1174474.334;
351  17     123;2538052.457;1174459.551;
351  17     125;2538111.116;1174413.957;
351  17     126;2538102.360;1174416.158;
351  17     127;2538107.424;1174419.935;
351  17     128;2538089.807;1174419.233;
351  17     129;2538077.232;1174415.597;
351  17     130;2538073.358;1174434.860;
351  17     131;2538066.303;1174433.844;
351  17     132;2538107.939;1174734.474;
351  17     133;2538085.125;1174645.820;
351  17     134;2538061.629;1174436.666;
351  17     135;2538056.679;1174451.863;
351  17     136;2538045.577;1174439.384;
351  17     137;2538128.519;1174474.519;
351  17     138;2538031.681;1174404.917;
351  17     139;2538045.500;1174418.113;
351  17     140;2537954.296;1174601.902;
351  17     141;2537999.087;1174580.190;
351  17     142;2537982.198;1174588.330;
351  17     143;2538033.232;1174573.857;
351  17     144;2538038.580;1174605.500;
351  17     145;2538075.773;1174600.370;
351  17     146;2538073.141;1174659.712;
351  17     147;2538065.300;1174661.490;
351  17     148;2538021.925;1174381.779;
351  17     149;2538082.827;1174653.284;
351  17     150;2538016.151;1174359.933;
351  17     151;2538088.092;1174660.227;
351  17     152;2538038.067;1174402.157;
351  17     153;2538075.308;1174478.558;
351  17     154;2538072.722;1174473.057;
351  17     155;2538029.092;1174380.059;
351  17     156;2538086.245;1174617.594;
351  17     157;2537987.453;1174364.612;
351  17     158;2538002.392;1174692.137;
351  17     159;2537996.984;1174690.237;
351  17     160;2537999.148;1174699.228;
351  17     161;2538071.068;1174534.370;
351  17     162;2538070.683;1174566.808;
351  17     163;2538077.880;1174535.312;
351  17     164;2538065.089;1174703.851;
351  17     165;2538078.928;1174571.526;
351  17     166;2538100.611;1174507.394;
351  17     167;2538036.914;1174680.522;
351  17     168;2538102.899;1174570.778;
351  17     169;2538042.614;1174691.719;
351  17     170;2538062.314;1174693.755;
351  17     171;2538095.077;1174694.633;
351  17     172;2538095.506;1174697.263;
351  17     173;2538089.808;1174700.133;
351  17     174;2538097.253;1174707.501;
351  17     175;2538099.908;1174735.713;
351  17     176;2538104.143;1174706.601;
351  17     177;2538071.193;1174579.307;
351  17     178;2538132.424;1174584.495;
351  17     179;2538134.044;1174619.622;
351  17     180;2538105.066;1174585.722;
351  17     181;2538102.020;1174693.786;
351  17     182;2538067.139;1174666.188;
351  17     183;2538085.931;1174659.159;
351  17     184;2538082.023;1174659.142;
351  17     185;2538103.653;1174753.540;
351  17     186;2538070.603;1174692.896;
351  17     188;2538076.162;1174699.536;
351  17     189;2538075.831;1174697.190;
351  17     190;2538080.468;1174701.574;
351  17     191;2538111.917;1174753.378;
351  17     192;2538066.773;1174475.505;
351  17     193;2538056.775;1174471.948;
351  17     194;2538062.702;1174695.174;
351  17     195;2538051.649;1174689.046;
351  17     196;2538060.671;1174687.015;
351  17     197;2538061.736;1174691.664;
351  17     198;2538079.612;1174696.697;
351  17     200;2538090.762;1174695.186;
351  17     201;2538086.960;1174621.727;
351  17     202;2538071.099;1174547.560;
351  17     203;2538070.427;1174529.349;
351  17     205;2538074.470;1174510.656;
351  17     206;2538086.218;1174523.941;
351  17     207;2538098.007;1174523.175;
351  17     208;2538076.429;1174524.652;
351  17     209;2538102.665;1174522.721;
351  17     210;2538077.081;1174683.662;
351  17     211;2538064.444;1174496.578;
351  17     212;2538055.059;1174688.005;
351  17     213;2538128.643;1174473.540;
351  17     214;2538128.814;1174475.619;
351  17     215;2537988.834;1174447.447;
351  17     216;2537973.280;1174489.168;
351  17     217;2537966.289;1174488.001;
351  17     218;2537968.396;1174491.860;
351  17     219;2537971.153;1174485.329;
351  17     220;2537969.130;1174463.342;
351  17     221;2537966.891;1174460.075;
351  17     222;2538085.802;1174405.591;
351  17     223;2538079.445;1174409.651;
351  17     225;2538077.946;1174412.666;
351  17     226;2538082.778;1174413.925;
351  17     227;2538082.119;1174416.393;
351  17     228;2538078.041;1174472.829;
351  17     229;2538093.260;1174470.832;
351  17     230;2538057.105;1174450.527;
351  17     231;2538084.988;1174522.403;
351  17     232;2537973.413;1174413.237;
351  17     233;2538085.981;1174394.297;
351  17     234;2538074.787;1174394.291;
351  17     236;2538012.180;1174345.270;
351  17     237;2538092.945;1174474.212;
351  17     238;2538092.130;1174575.086;
351  17     239;2538073.820;1174684.232;
351  17     240;2538092.290;1174577.889;
351  17     241;2538061.024;1174742.964;
351  17     242;2538075.485;1174680.555;
351  17     243;2538075.779;1174682.232;
351  17     244;2538059.325;1174679.887;
